"","verb","model","is_trans","test","item_number","obj_exp","VB","VBD","VBN","total","percent_VBD","percent_VBN","vbd_freq"
"1","abstained","actionLstm","Intrans","transf-longmod",0,-4.02969,0,2,0,2,1,0,"2"
"2","abstained","actionLstm","Intrans","transf-longmod",1,1.23802,0,2,0,2,1,0,"2"
"3","abstained","actionLstm","Intrans","transf-longmod",2,1.14338,0,2,0,2,1,0,"2"
"4","abstained","actionLstm","Intrans","transf-longmod",3,-0.951360000000005,0,2,0,2,1,0,"2"
"5","abstained","actionLstm","Intrans","transf-longmod",4,-0.228140000000003,0,2,0,2,1,0,"2"
"6","abstained","actionLstm","Intrans","transf-longmod",5,-0.0968300000000042,0,2,0,2,1,0,"2"
"7","abstained","actionLstm","Intrans","transf-longmod",6,-1.12766,0,2,0,2,1,0,"2"
"8","abstained","actionLstm","Intrans","transf-longmod",7,-0.0953300000000041,0,2,0,2,1,0,"2"
"9","abstained","actionLstm","Intrans","transf-longmod",8,0.333840000000002,0,2,0,2,1,0,"2"
"10","abstained","actionLstm","Intrans","transf-longmod",9,-1.12964,0,2,0,2,1,0,"2"
"11","abstained","actionLstm","Intrans","transf-mod",0,-9.36807,0,2,0,2,1,0,"2"
"12","abstained","actionLstm","Intrans","transf-mod",1,-0.528149999999997,0,2,0,2,1,0,"2"
"13","abstained","actionLstm","Intrans","transf-mod",2,-3.31382,0,2,0,2,1,0,"2"
"14","abstained","actionLstm","Intrans","transf-mod",3,-1.88737,0,2,0,2,1,0,"2"
"15","abstained","actionLstm","Intrans","transf-mod",4,-0.945810000000002,0,2,0,2,1,0,"2"
"16","abstained","actionLstm","Intrans","transf-mod",5,-4.11276,0,2,0,2,1,0,"2"
"17","abstained","actionLstm","Intrans","transf-mod",6,-1.79527,0,2,0,2,1,0,"2"
"18","abstained","actionLstm","Intrans","transf-mod",7,-0.861260000000001,0,2,0,2,1,0,"2"
"19","abstained","actionLstm","Intrans","transf-mod",8,-4.42921,0,2,0,2,1,0,"2"
"20","abstained","actionLstm","Intrans","transf-mod",9,-4.94128,0,2,0,2,1,0,"2"
"21","abstained","actionLstm","Intrans","transf-nomod",0,-2.25753,0,2,0,2,1,0,"2"
"22","abstained","actionLstm","Intrans","transf-nomod",1,3.36415,0,2,0,2,1,0,"2"
"23","abstained","actionLstm","Intrans","transf-nomod",2,-2.90675,0,2,0,2,1,0,"2"
"24","abstained","actionLstm","Intrans","transf-nomod",3,-4.11357,0,2,0,2,1,0,"2"
"25","abstained","actionLstm","Intrans","transf-nomod",4,-1.75992,0,2,0,2,1,0,"2"
"26","abstained","actionLstm","Intrans","transf-nomod",5,-2.11133,0,2,0,2,1,0,"2"
"27","abstained","actionLstm","Intrans","transf-nomod",6,-2.5871,0,2,0,2,1,0,"2"
"28","abstained","actionLstm","Intrans","transf-nomod",7,-1.39534,0,2,0,2,1,0,"2"
"29","abstained","actionLstm","Intrans","transf-nomod",8,-2.48105,0,2,0,2,1,0,"2"
"30","abstained","actionLstm","Intrans","transf-nomod",9,-0.491629999999994,0,2,0,2,1,0,"2"
"31","abstained","lstm","Intrans","transf-nomod",8,-2.4086298,0,2,0,2,1,0,"2"
"32","abstained","lstm","Intrans","transf-nomod",9,0.256706439999995,0,2,0,2,1,0,"2"
"33","abstained","rnng","Intrans","transf-nomod",8,-4.16045,0,2,0,2,1,0,"2"
"34","abstained","rnng","Intrans","transf-nomod",9,-2.7718,0,2,0,2,1,0,"2"
"35","abstained","lstm","Intrans","transf-longmod",5,-0.179847899999999,0,2,0,2,1,0,"2"
"36","abstained","lstm","Intrans","transf-longmod",6,0.746641999999994,0,2,0,2,1,0,"2"
"37","abstained","lstm","Intrans","transf-longmod",7,-0.354231799999997,0,2,0,2,1,0,"2"
"38","abstained","lstm","Intrans","transf-longmod",8,0.625246199999999,0,2,0,2,1,0,"2"
"39","abstained","lstm","Intrans","transf-longmod",9,-0.883875199999999,0,2,0,2,1,0,"2"
"40","abstained","lstm","Intrans","transf-mod",0,3.0834529,0,2,0,2,1,0,"2"
"41","abstained","lstm","Intrans","transf-mod",1,-0.818261829999997,0,2,0,2,1,0,"2"
"42","abstained","lstm","Intrans","transf-mod",2,-0.601955199999999,0,2,0,2,1,0,"2"
"43","abstained","lstm","Intrans","transf-longmod",0,-0.171288999999994,0,2,0,2,1,0,"2"
"44","abstained","lstm","Intrans","transf-longmod",1,-0.103874799999993,0,2,0,2,1,0,"2"
"45","abstained","lstm","Intrans","transf-longmod",2,-0.0568928,0,2,0,2,1,0,"2"
"46","abstained","lstm","Intrans","transf-longmod",3,0.562531399999997,0,2,0,2,1,0,"2"
"47","abstained","lstm","Intrans","transf-longmod",4,-0.409095000000001,0,2,0,2,1,0,"2"
"48","abstained","lstm","Intrans","transf-mod",8,-2.57923366999999,0,2,0,2,1,0,"2"
"49","abstained","lstm","Intrans","transf-mod",9,-1.58098755,0,2,0,2,1,0,"2"
"50","abstained","lstm","Intrans","transf-nomod",0,-0.458490799999993,0,2,0,2,1,0,"2"
"51","abstained","lstm","Intrans","transf-nomod",1,-1.566506,0,2,0,2,1,0,"2"
"52","abstained","lstm","Intrans","transf-nomod",2,-4.3319263,0,2,0,2,1,0,"2"
"53","abstained","lstm","Intrans","transf-nomod",3,-7.1807512,0,2,0,2,1,0,"2"
"54","abstained","lstm","Intrans","transf-nomod",4,-0.704590999999994,0,2,0,2,1,0,"2"
"55","abstained","lstm","Intrans","transf-nomod",5,-4.30000343,0,2,0,2,1,0,"2"
