,WORD,LEMMA,XPOS,0
910,n't,not,RB,4005
319,also,also,RB,1746
946,not,not,RB,1607
974,only,only,RB,923
355,as,as,RB,913
952,now,now,RB,834
587,even,even,RB,726
276,about,about,RB,691
817,just,just,RB,671
1375,up,up,RB,648
1196,so,so,RB,629
1241,still,still,RB,606
1411,well,well,RB,516
534,down,down,RB,467
1395,very,very,RB,434
1292,then,then,RB,425
303,ago,ago,RB,415
1316,too,too,RB,393
906,much,much,RB,385
318,already,already,RB,369
614,far,far,RB,367
372,back,back,RB,364
738,however,however,RB,322
1109,recently,recently,RB,310
719,here,here,RB,287
918,nearly,nearly,RB,256
313,almost,almost,RB,240
969,often,often,RB,228
301,again,again,RB,227
484,currently,currently,RB,225
927,never,never,RB,216
1436,yet,yet,RB,208
165,Now,now,RB,191
1212,soon,soon,RB,187
105,However,however,RB,182
1101,rather,rather,RB,182
1068,probably,probably,RB,179
829,later,later,RB,177
1293,there,there,RB,170
1061,previously,previously,RB,166
972,once,once,RB,164
1187,slightly,slightly,RB,162
1013,particularly,particularly,RB,160
368,away,away,RB,160
584,especially,especially,RB,159
69,Even,even,RB,158
1106,really,really,RB,156
590,ever,ever,RB,155
849,long,long,RB,146
145,Meanwhile,meanwhile,RB,142
1092,quickly,quickly,RB,142
824,largely,largely,RB,142
322,always,always,RB,139
304,ahead,ahead,RB,139
675,generally,generally,RB,137
223,So,so,RB,135
234,Still,still,RB,134
546,earlier,earlier,RB,132
1166,sharply,sharply,RB,132
547,early,early,RB,127
788,instead,instead,RB,127
1175,simply,simply,RB,127
1385,usually,usually,RB,121
22,Also,also,RB,121
574,enough,enough,RB,121
987,out,out,RB,119
441,closely,closely,RB,117
520,directly,directly,RB,114
670,fully,fully,RB,109
632,first,first,RB,108
965,off,off,RB,107
287,actually,actually,RB,107
827,late,late,RB,105
936,no,no,RB,105
1014,partly,partly,RB,104
726,highly,highly,RB,101
1023,perhaps,perhaps,RB,101
344,apparently,apparently,RB,99
243,Then,then,RB,99
1419,widely,widely,RB,99
1117,relatively,relatively,RB,96
163,Not,not,RB,95
146,Moreover,moreover,RB,94
315,alone,alone,RB,92
1313,together,together,RB,91
1134,right,right,RB,86
845,little,little,RB,85
119,Instead,instead,RB,83
904,mostly,mostly,RB,83
1084,publicly,publicly,RB,81
566,else,else,RB,81
716,heavily,heavily,RB,80
746,immediately,immediately,RB,79
113,Indeed,indeed,RB,78
764,increasingly,increasingly,RB,77
424,certainly,certainly,RB,75
1138,roughly,roughly,RB,73
440,close,close,RB,73
589,eventually,eventually,RB,71
1062,primarily,primarily,RB,71
1331,typically,typically,RB,70
673,further,further,RB,70
437,clearly,clearly,RB,69
1209,sometimes,sometimes,RB,69
864,mainly,mainly,RB,68
382,before,before,RB,68
353,around,around,RB,67
1258,substantially,substantially,RB,66
1095,quite,quite,RB,65
754,in,in,RB,65
1304,though,though,RB,64
330,annually,annually,RB,64
1307,thus,thus,RB,63
1060,pretty,pretty,RB,63
103,Here,here,RB,62
1172,significantly,significantly,RB,62
627,finally,finally,RB,61
381,because,because,RB,60
610,fairly,fairly,RB,59
1400,virtually,virtually,RB,59
249,Thus,thus,RB,58
215,Separately,separately,RB,57
174,Only,only,RB,57
606,extremely,extremely,RB,55
1330,twice,twice,RB,55
278,abroad,abroad,RB,55
309,all,all,RB,54
851,longer,longer,RB,54
841,likely,likely,RB,52
879,meanwhile,meanwhile,RB,52
124,Just,just,RB,51
781,initially,initially,RB,51
561,either,either,RB,51
270,Yet,yet,RB,50
549,easily,easily,RB,50
1099,rapidly,rapidly,RB,49
929,newly,newly,RB,49
813,jointly,jointly,RB,48
1285,temporarily,temporarily,RB,48
1000,overseas,overseas,RB,47
1067,privately,privately,RB,47
993,over,over,RB,47
766,indeed,indeed,RB,46
377,badly,badly,RB,45
567,elsewhere,elsewhere,RB,44
1047,possibly,possibly,RB,44
941,normally,normally,RB,44
884,merely,merely,RB,43
1332,ultimately,ultimately,RB,43
1210,somewhat,somewhat,RB,43
647,formerly,formerly,RB,42
663,frequently,frequently,RB,41
185,Perhaps,perhaps,RB,41
1251,strongly,strongly,RB,41
707,hard,hard,RB,40
593,exactly,exactly,RB,39
557,effectively,effectively,RB,39
157,Nevertheless,nevertheless,RB,38
1168,shortly,shortly,RB,37
876,maybe,maybe,RB,36
971,on,on,RB,36
173,Once,once,RB,36
577,entirely,entirely,RB,36
391,better,better,RB,35
628,financially,financially,RB,35
585,essentially,essentially,RB,34
141,Maybe,maybe,RB,34
347,approximately,approximately,RB,33
983,originally,originally,RB,32
340,apart,apart,RB,32
1048,potentially,potentially,RB,32
302,aggressively,aggressively,RB,32
378,barely,barely,RB,32
1288,tentatively,tentatively,RB,31
616,fast,fast,RB,31
709,hardly,hardly,RB,31
316,along,along,RB,30
1318,totally,totally,RB,30
1065,prior,prior,RB,30
986,otherwise,otherwise,RB,30
1236,steadily,steadily,RB,29
1261,suddenly,suddenly,RB,29
452,completely,completely,RB,29
897,modestly,modestly,RB,29
1272,surprisingly,surprisingly,RB,29
650,forward,forward,RB,28
920,necessarily,necessarily,RB,28
694,greatly,greatly,RB,28
542,due,due,RB,28
311,allegedly,allegedly,RB,27
1127,respectively,respectively,RB,27
1152,seasonally,seasonally,RB,27
1291,that,that,RB,26
82,First,first,RB,26
1163,seriously,seriously,RB,26
1125,reportedly,reportedly,RB,26
1162,separately,separately,RB,25
1296,therefore,therefore,RB,25
967,officially,officially,RB,25
464,considerably,considerably,RB,25
52,Currently,currently,RB,24
1124,repeatedly,repeatedly,RB,24
337,anyway,anyway,RB,24
465,consistently,consistently,RB,24
1005,p.m.,p.m.,RB,24
272,a.m,a.m,RB,24
21,Already,already,RB,24
1189,slowly,slowly,RB,23
4,About,about,RB,23
1321,traditionally,traditionally,RB,23
200,Rather,rather,RB,23
280,absolutely,absolutely,RB,23
31,As,as,RB,23
359,aside,aside,RB,23
417,carefully,carefully,RB,23
646,formally,formally,RB,22
1221,specifically,specifically,RB,22
379,basically,basically,RB,22
80,Finally,finally,RB,22
1372,unusually,unusually,RB,22
1100,rarely,rarely,RB,22
1306,through,through,RB,21
408,broadly,broadly,RB,21
1077,properly,properly,RB,21
1381,upward,upward,RB,21
338,anywhere,anywhere,RB,21
488,daily,daily,RB,21
1042,politically,politically,RB,21
229,Sometimes,sometimes,RB,20
828,lately,lately,RB,20
387,below,below,RB,20
948,notably,notably,RB,20
745,illegally,illegally,RB,20
1116,regularly,regularly,RB,20
273,a.m.,a.m.,RB,19
1093,quietly,quietly,RB,19
335,anymore,anymore,RB,19
961,obviously,obviously,RB,19
65,Elsewhere,elsewhere,RB,19
1327,truly,truly,RB,19
619,federally,federally,RB,19
1259,successfully,successfully,RB,19
155,Nearly,nearly,RB,19
500,deeply,deeply,RB,18
1167,short,short,RB,18
962,occasionally,occasionally,RB,18
467,constantly,constantly,RB,18
724,high,high,RB,18
1211,somewhere,somewhere,RB,18
530,double,double,RB,18
321,altogether,altogether,RB,17
149,Much,much,RB,17
219,Similarly,similarly,RB,17
192,Previously,previously,RB,17
34,Back,back,RB,17
286,actively,actively,RB,17
259,Unfortunately,unfortunately,RB,17
1107,reasonably,reasonably,RB,17
1156,seemingly,seemingly,RB,17
130,Later,later,RB,16
1043,poorly,poorly,RB,16
298,after,after,RB,16
1200,solely,solely,RB,16
826,last,last,RB,16
341,apiece,apiece,RB,16
1269,surely,surely,RB,16
939,nonetheless,nonetheless,RB,16
389,best,best,RB,16
689,gradually,gradually,RB,16
727,historically,historically,RB,16
364,automatically,automatically,RB,16
179,Otherwise,otherwise,RB,16
977,openly,openly,RB,15
1076,promptly,promptly,RB,15
580,equally,equally,RB,15
1217,south,south,RB,15
1022,perfectly,perfectly,RB,15
1294,thereafter,thereafter,RB,15
1114,regardless,regardless,RB,15
1268,sure,sure,RB,15
1027,personally,personally,RB,15
231,Soon,soon,RB,15
207,Right,right,RB,15
203,Recently,recently,RB,15
1351,unexpectedly,unexpectedly,RB,15
62,Early,early,RB,15
1164,severely,severely,RB,14
168,Obviously,obviously,RB,14
181,Overall,overall,RB,14
1435,yesterday,yesterday,RB,14
507,deliberately,deliberately,RB,14
503,definitely,definitely,RB,14
1176,simultaneously,simultaneously,RB,14
1208,sometime,sometime,RB,14
1207,somehow,somehow,RB,14
844,literally,literally,RB,14
896,moderately,moderately,RB,14
