,word,lemma,ptb_pos,has_dobj,has_nsubjpass,count
0,$involved,involve,VBN,False,False,1
1,"',","',",VBP,True,False,1
2,'m,be,VBP,False,False,1
3,'s,be,VBZ,False,False,52
4,<3,<3,VBP,True,False,1
5,abandoned,abandon,VBD,True,False,1
6,abandoned,abandon,VBN,True,False,1
7,abandoning,abandon,VBG,True,False,3
8,abducted,abduct,VBN,False,True,1
9,abiding,abide,VBG,False,False,1
10,abolish,abolish,VB,True,False,1
11,abolishing,abolish,VBG,True,False,1
12,absent,absent,VB,True,False,1
13,absenting,absent,VBG,True,False,1
14,absorb,absorb,VB,True,False,4
15,absorbing,absorb,VBG,True,False,2
16,abstain,abstain,VBP,False,False,1
17,abstaining,abstain,VBG,False,False,1
18,abuse,abuse,VB,True,False,1
19,abused,abuse,VBN,False,False,2
20,abusing,abuse,VBG,True,False,1
21,accelerated,accelerate,VBD,True,False,1
22,accent,accent,VB,True,False,1
23,accept,accept,VB,False,False,1
24,accept,accept,VB,True,False,12
25,accept,accept,VBP,True,False,1
26,accepted,accept,VBD,False,False,2
27,accepted,accept,VBD,True,False,4
28,accepted,accept,VBN,False,False,1
29,accepted,accept,VBN,False,True,6
30,accepting,accept,VBG,True,False,3
31,access,access,VB,True,False,5
32,accessing,access,VBG,True,False,1
33,accommodate,accommodate,VB,True,False,1
34,accommodated,accommodate,VBN,False,True,1
35,accomodate,accomodate,VB,True,False,1
36,accompanied,accompany,VBN,False,False,2
37,accompany,accompany,VB,True,False,1
38,accomplish,accomplish,VB,True,False,1
39,accomplished,accomplish,VBD,True,False,1
40,accomplishing,accomplish,VBG,True,False,1
41,according,accord,VBG,False,False,21
42,according to,accord,VBG,False,False,19
43,account,account,VB,False,False,1
44,accumulate,accumulate,VB,True,False,1
45,accumulated,accumulate,VBD,True,False,2
46,accumulated,accumulate,VBN,True,False,1
47,accumulating,accumulate,VBG,False,False,1
48,accused,accuse,VBD,True,False,1
49,accused,accuse,VBN,False,False,3
50,accused,accuse,VBN,False,True,1
51,accused,accuse,VBN,True,False,1
52,accuses,accuse,VBZ,True,False,3
53,accusing,accuse,VBG,True,False,1
54,achieve,achieve,VB,False,False,1
55,achieve,achieve,VB,True,False,10
56,achieved,achieve,VBD,True,False,1
57,achieved,achieve,VBN,False,True,2
58,achieving,achieve,VBG,True,False,4
59,acknowledge,acknowledge,VB,False,False,1
60,acknowledged,acknowledge,VBD,False,False,1
61,acknowledged,acknowledge,VBN,False,False,1
62,acknowledges,acknowledge,VBZ,False,False,1
63,acknowledging,acknowledge,VBG,True,False,1
64,acquire,acquire,VB,True,False,3
65,acquired,acquire,VBD,True,False,2
66,acquired,acquire,VBN,False,False,2
67,acquired,acquire,VBN,True,False,1
68,acquiring,acquire,VBG,True,False,7
69,act,act,VB,False,False,6
70,act,act,VBP,False,False,2
71,acted,act,VBD,False,False,3
72,acted,act,VBN,False,True,2
73,acting,act,VBG,False,False,8
74,acting,act,VBG,True,False,1
75,activated,activate,VBD,False,False,1
76,acts,act,VBZ,False,False,3
77,adapt,adapt,VB,False,False,1
78,adapted,adapt,VBD,False,False,1
79,adapted,adapt,VBD,True,False,1
80,adapted,adapt,VBN,True,False,1
81,add,add,VB,False,False,8
82,add,add,VB,True,False,35
83,add,add,VBP,True,False,2
84,added,add,VBD,False,False,8
85,added,add,VBD,True,False,3
86,added,add,VBN,False,False,7
87,added,add,VBN,False,True,6
88,added,add,VBN,True,False,2
89,adding,add,VBG,False,False,2
90,adding,add,VBG,True,False,9
91,address,address,VB,False,False,2
92,address,address,VB,True,False,8
93,address,address,VBP,True,False,3
94,addressed,address,VBD,True,False,4
95,addressed,address,VBN,False,False,3
96,addressed,address,VBN,False,True,2
97,addresses,address,VBZ,True,False,2
98,adds,add,VBZ,False,False,1
99,adds,add,VBZ,True,False,4
100,adhear,adhear,VBP,False,False,1
101,adhered,adhere,VBN,False,True,1
102,adhering,adhere,VBG,False,False,3
103,adjoining,adjoin,VBG,True,False,1
104,adjust,adjust,VB,False,False,4
105,adjust,adjust,VB,True,False,4
106,adjust,adjust,VBP,False,False,1
107,adjusted,adjust,VBN,False,False,1
108,adjusted,adjust,VBN,False,True,4
109,adjusting,adjust,VBG,True,False,1
110,administer,administer,VB,True,False,1
111,administered,administer,VBN,False,True,1
112,admire,admire,VB,True,False,1
113,admit,admit,VB,False,False,3
114,admit,admit,VBP,False,False,1
115,admit,admit,VBP,True,False,1
116,admits,admit,VBZ,False,False,1
117,admitted,admit,VBD,False,False,8
118,admitted,admit,VBD,True,False,1
119,admitted,admit,VBN,False,False,1
120,admitting,admit,VBG,False,False,1
121,admonished,admonish,VBD,False,False,1
122,adopt,adopt,VB,False,False,1
123,adopt,adopt,VB,True,False,1
124,adopted,adopt,VBD,True,False,3
125,adopted,adopt,VBN,False,False,1
