"","WORD","LEMMA","XPOS"
"1","'d","have","VBD"
"2","abandoned","abandon","VBD"
"3","abandoned","abandon","VBN"
"4","abated","abate","VBD"
"5","abated","abate","VBN"
"6","abolished","abolish","VBD"
"7","abolished","abolish","VBN"
"8","aborted","abort","VBN"
"9","absorbed","absorb","VBD"
"10","absorbed","absorb","VBN"
"11","abstained","abstain","VBD"
"12","abused","abuse","VBD"
"13","abused","abuse","VBN"
"14","accelerated","accelerate","VBD"
"15","accelerated","accelerate","VBN"
"16","accepted","accept","VBD"
"17","accepted","accept","VBN"
"18","accommodated","accommodate","VBN"
"19","accompanied","accompany","VBD"
"20","accompanied","accompany","VBN"
"21","accomplished","accomplish","VBN"
"22","accounted","account","VBD"
"23","accounted","account","VBN"
"24","accrued","accrue","VBN"
"25","accumulated","accumulate","VBN"
"26","accused","accuse","VBD"
"27","accused","accuse","VBN"
"28","accustomed","accustom","VBN"
"29","achieved","achieve","VBD"
"30","achieved","achieve","VBN"
"31","acknowledged","acknowledge","VBD"
"32","acknowledged","acknowledge","VBN"
"33","acquired","acquire","VBD"
"34","acquired","acquire","VBN"
"35","acquitted","acquit","VBN"
"36","acted","act","VBD"
"37","acted","act","VBN"
"38","activated","activate","VBN"
"39","adapted","adapt","VBD"
"40","adapted","adapt","VBN"
"41","added","add","VBD"
"42","added","add","VBN"
"43","addicted","addict","VBN"
"44","addressed","address","VBD"
"45","addressed","address","VBN"
"46","adjusted","adjust","VBD"
"47","adjusted","adjust","VBN"
"48","administered","administer","VBN"
"49","admitted","admit","VBD"
"50","admitted","admit","VBN"
"51","adopted","adopt","VBD"
"52","adopted","adopt","VBN"
"53","adorned","adorn","VBD"
"54","adorned","adorn","VBN"
"55","advanced","advance","VBD"
"56","advanced","advance","VBN"
"57","advertised","advertise","VBD"
"58","advertised","advertise","VBN"
"59","advised","advise","VBD"
"60","advised","advise","VBN"
"61","advocated","advocate","VBD"
"62","advocated","advocate","VBN"
"63","affected","affect","VBD"
"64","affected","affect","VBN"
"65","affiliated","affiliate","VBN"
"66","affirmed","affirm","VBD"
"67","afforded","afford","VBN"
"68","aged","age","VBN"
"69","aggravated","aggravate","VBD"
"70","aggravated","aggravate","VBN"
"71","agreed","agree","VBD"
"72","agreed","agree","VBN"
"73","aided","aid","VBD"
"74","aided","aid","VBN"
"75","aimed","aim","VBD"
"76","aimed","aim","VBN"
"77","aired","air","VBD"
"78","aired","air","VBN"
"79","alarmed","alarm","VBN"
"80","alerted","alert","VBD"
"81","aligned","align","VBN"
"82","alleged","allege","VBD"
"83","alleged","allege","VBN"
"84","allocated","allocate","VBD"
"85","allocated","allocate","VBN"
"86","allowed","allow","VBD"
"87","allowed","allow","VBN"
"88","alluded","allude","VBD"
"89","altered","alter","VBD"
"90","altered","alter","VBN"
"91","amassed","amass","VBD"
"92","amassed","amass","VBN"
"93","amazed","amaze","VBN"
"94","ambushed","ambush","VBD"
"95","amended","amend","VBD"
"96","amended","amend","VBN"
"97","amounted","amount","VBD"
"98","amounted","amount","VBN"
"99","amplified","amplify","VBN"
"100","analyzed","analyze","VBD"
"101","analyzed","analyze","VBN"
"102","angered","anger","VBD"
"103","angered","anger","VBN"
"104","announced","announce","VBD"
"105","announced","announce","VBN"
"106","annoyed","annoy","VBD"
"107","annoyed","annoy","VBN"
"108","annualized","annualize","VBN"
"109","answered","answer","VBD"
"110","answered","answer","VBN"
"111","anticipated","anticipate","VBD"
"112","anticipated","anticipate","VBN"
"113","appalled","appal","VBN"
"114","appealed","appeal","VBD"
"115","appealed","appeal","VBN"
"116","appeared","appear","VBD"
"117","appeared","appear","VBN"
"118","appended","append","VBN"
"119","applauded","applaud","VBD"
"120","applied","apply","VBD"
"121","applied","apply","VBN"
"122","appointed","appoint","VBD"
"123","appointed","appoint","VBN"
"124","appreciated","appreciate","VBD"
"125","appreciated","appreciate","VBN"
"126","approached","approach","VBD"
"127","approached","approach","VBN"
"128","appropriated","appropriate","VBD"
"129","appropriated","appropriate","VBN"
"130","approved","approve","VBD"
"131","approved","approve","VBN"
"132","arched","arch","VBD"
"133","argued","argue","VBD"
"134","argued","argue","VBN"
"135","arisen","arise","VBN"
"136","armed","arm","VBN"
"137","arose","arise","VBD"
"138","aroused","arouse","VBD"
"139","aroused","arouse","VBN"
"140","arranged","arrange","VBD"
"141","arranged","arrange","VBN"
"142","arrested","arrest","VBN"
"143","arrived","arrive","VBD"
"144","arrived","arrive","VBN"
"145","asked","ask","VBD"
"146","asked","ask","VBN"
"147","assailed","assail","VBD"
"148","assailed","assail","VBN"
"149","assembled","assemble","VBD"
"150","assembled","assemble","VBN"
"151","asserted","assert","VBD"
"152","asserted","assert","VBN"
"153","assessed","assess","VBD"
"154","assessed","assess","VBN"
"155","assigned","assign","VBN"
"156","assisted","assist","VBN"
"157","associated","associate","VBN"
"158","assumed","assume","VBD"
"159","assumed","assume","VBN"
"160","assured","assure","VBD"
"161","assured","assure","VBN"
"162","ate","eat","VBD"
"163","attached","attach","VBD"
"164","attached","attach","VBN"
"165","attacked","attack","VBD"
"166","attacked","attack","VBN"
"167","attempted","attempt","VBD"
"168","attempted","attempt","VBN"
"169","attended","attend","VBD"
"170","attended","attend","VBN"
"171","attracted","attract","VBD"
"172","attracted","attract","VBN"
"173","attributed","attribute","VBD"
"174","attributed","attribute","VBN"
"175","auctioned","auction","VBD"
"176","auctioned","auction","VBN"
"177","audited","audit","VBD"
"178","audited","audit","VBN"
"179","authorized","authorize","VBD"
"180","authorized","authorize","VBN"
"181","autographed","autograph","VBN"
"182","automated","automate","VBN"
"183","averaged","average","VBD"
"184","averaged","average","VBN"
"185","avoided","avoid","VBD"
"186","avoided","avoid","VBN"
"187","awaited","await","VBD"
"188","awarded","award","VBD"
"189","awarded","award","VBN"
"190","backed","back","VBD"
"191","backed","back","VBN"
"192","backfired","backfire","VBD"
"193","backfired","backfire","VBN"
"194","bailed","bail","VBD"
"195","balanced","balance","VBN"
"196","balked","balk","VBD"
"197","ballooned","balloon","VBD"
"198","ballooned","balloon","VBN"
"199","banished","banish","VBN"
"200","banned","ban","VBD"
"201","banned","ban","VBN"
"202","barred","bar","VBD"
"203","barred","bar","VBN"
"204","based","base","VBD"
"205","based","base","VBN"
"206","battered","batter","VBD"
"207","battered","batter","VBN"
"208","battled","battle","VBD"
"209","battled","battle","VBN"
"210","beat","beat","VBD"
"211","beaten","beat","VBN"
"212","became","become","VBD"
"213","become","become","VBD"
"214","become","become","VBN"
"215","beefed","beef","VBD"
"216","beefed","beef","VBN"
"217","been","be","VBN"
"218","began","begin","VBD"
"219","begun","begin","VBN"
"220","behaved","behave","VBD"
"221","behaved","behave","VBN"
"222","beleaguered","beleaguer","VBN"
"223","believed","believe","VBD"
"224","believed","believe","VBN"
"225","belonged","belong","VBD"
"226","benefited","benefit","VBD"
"227","benefited","benefit","VBN"
"228","beset","beset","VBN"
"229","besieged","besiege","VBN"
"230","bested","best","VBD"
"231","bested","best","VBN"
"232","bestowed","bestow","VBN"
"233","bet","bet","VBD"
"234","bet","bet","VBN"
"235","bid","bid","VBD"
"236","bid","bid","VBN"
"237","billed","bill","VBD"
"238","billed","bill","VBN"
"239","blackened","blacken","VBN"
"240","blamed","blame","VBD"
"241","blamed","blame","VBN"
"242","blasted","blast","VBD"
"243","blessed","bless","VBN"
"244","blew","blow","VBD"
"245","blocked","block","VBD"
"246","blocked","block","VBN"
"247","blossomed","blossom","VBD"
"248","blossomed","blossom","VBN"
"249","blown","blow","VBN"
"250","blundered","blunder","VBD"
"251","blunted","blunt","VBD"
"252","blunted","blunt","VBN"
"253","boasted","boast","VBD"
"254","boasted","boast","VBN"
"255","bogged","bog","VBD"
"256","bolstered","bolster","VBD"
"257","bolstered","bolster","VBN"
"258","bolted","bolt","VBN"
"259","bombarded","bombard","VBD"
"260","bombarded","bombard","VBN"
"261","bombed","bomb","VBD"
"262","bombed","bomb","VBN"
"263","booked","book","VBD"
"264","booked","book","VBN"
"265","boomed","boom","VBD"
"266","boomed","boom","VBN"
"267","boosted","boost","VBD"
"268","boosted","boost","VBN"
"269","bore","bear","VBD"
"270","bored","bore","VBN"
"271","born","bear","VBN"
"272","borne","bear","VBN"
"273","borrowed","borrow","VBD"
"274","borrowed","borrow","VBN"
"275","botched","botch","VBN"
"276","bothered","bother","VBD"
"277","bothered","bother","VBN"
"278","bottled","bottle","VBN"
"279","bottomed","bottom","VBD"
"280","bottomed","bottom","VBN"
"281","bought","buy","VBD"
"282","bought","buy","VBN"
"283","bounced","bounce","VBD"
"284","bound","bind","VBN"
"285","bowed","bow","VBD"
"286","braced","brace","VBD"
"287","braced","brace","VBN"
"288","breached","breach","VBD"
"289","breached","breach","VBN"
"290","breathed","breathe","VBD"
"291","bred","breed","VBD"
"292","bred","breed","VBN"
"293","bribed","bribe","VBD"
"294","bribed","bribe","VBN"
"295","broadcast","broadcast","VBD"
"296","broadcast","broadcast","VBN"
"297","broadened","broaden","VBD"
"298","broadened","broaden","VBN"
"299","broke","break","VBD"
"300","broken","break","VBN"
"301","brought","bring","VBD"
"302","brought","bring","VBN"
"303","brushed","brush","VBD"
"304","brushed","brush","VBN"
"305","bucked","buck","VBD"
"306","bucked","buck","VBN"
"307","buckled","buckle","VBD"
"308","budged","budge","VBD"
"309","budged","budge","VBN"
"310","budgeted","budget","VBN"
"311","buffeted","buffet","VBN"
"312","build","build","VBN"
"313","built","build","VBD"
"314","built","build","VBN"
"315","bumped","bump","VBD"
"316","bumped","bump","VBN"
"317","bundled","bundle","VBN"
"318","buoyed","buoy","VBD"
"319","buoyed","buoy","VBN"
"320","burdened","burden","VBD"
"321","burdened","burden","VBN"
"322","buried","bury","VBD"
"323","buried","bury","VBN"
"324","burned","burn","VBD"
"325","burned","burn","VBN"
"326","burnt","burn","VBN"
"327","burst","burst","VBD"
"328","busted","bust","VBD"
"329","busted","bust","VBN"
"330","buttressed","buttress","VBN"
"331","calculated","calculate","VBD"
"332","calculated","calculate","VBN"
"333","called","call","VBD"
"334","called","call","VBN"
"335","came","come","VBD"
"336","canceled","cancel","VBD"
"337","canceled","cancel","VBN"
"338","canned","can","VBN"
"339","capitalized","capitalize","VBD"
"340","capitalized","capitalize","VBN"
"341","capped","cap","VBD"
"342","capped","cap","VBN"
"343","captured","capture","VBD"
"344","captured","capture","VBN"
"345","cared","care","VBD"
"346","cared","care","VBN"
"347","carried","carry","VBD"
"348","carried","carry","VBN"
"349","carved","carve","VBD"
"350","carved","carve","VBN"
"351","cashed","cash","VBD"
"352","cashed","cash","VBN"
"353","cast","cast","VBD"
"354","cast","cast","VBN"
"355","categorized","categorize","VBN"
"356","caught","catch","VBD"
"357","caught","catch","VBN"
"358","caused","cause","VBD"
"359","caused","cause","VBN"
"360","cautioned","caution","VBD"
"361","caved","cave","VBD"
"362","ceased","cease","VBD"
"363","ceased","cease","VBN"
"364","ceded","cede","VBD"
"365","ceded","cede","VBN"
"366","celebrated","celebrate","VBD"
"367","censored","censor","VBN"
"368","centered","center","VBD"
"369","centered","center","VBN"
"370","certified","certify","VBN"
"371","chaired","chair","VBD"
"372","chaired","chair","VBN"
"373","challenged","challenge","VBD"
"374","challenged","challenge","VBN"
"375","championed","champion","VBD"
"376","championed","champion","VBN"
"377","changed","change","VBD"
"378","changed","change","VBN"
"379","chanted","chant","VBD"
"380","chanted","chant","VBN"
"381","characterized","characterize","VBD"
"382","characterized","characterize","VBN"
"383","charged","charge","VBD"
"384","charged","charge","VBN"
"385","chartered","charter","VBD"
"386","chartered","charter","VBN"
"387","cheated","cheat","VBD"
"388","checked","check","VBD"
"389","checked","check","VBN"
"390","cheered","cheer","VBD"
"391","cheered","cheer","VBN"
"392","cherished","cherish","VBN"
"393","chided","chide","VBD"
"394","chided","chide","VBN"
"395","choked","choke","VBD"
"396","choked","choke","VBN"
"397","chose","choose","VBD"
"398","chosen","choose","VBN"
"399","circulated","circulate","VBD"
"400","circulated","circulate","VBN"
"401","cited","cite","VBD"
"402","cited","cite","VBN"
"403","clad","clothe","VBN"
"404","claimed","claim","VBD"
"405","claimed","claim","VBN"
"406","clashed","clash","VBD"
"407","clashed","clash","VBN"
"408","classified","classify","VBD"
"409","classified","classify","VBN"
"410","cleaned","clean","VBD"
"411","cleaned","clean","VBN"
"412","cleared","clear","VBD"
"413","cleared","clear","VBN"
"414","climbed","climb","VBD"
"415","climbed","climb","VBN"
"416","clobbered","clobber","VBD"
"417","clobbered","clobber","VBN"
"418","clogged","clog","VBN"
"419","closed","close","VBD"
"420","closed","close","VBN"
"421","clouded","cloud","VBN"
"422","clustered","cluster","VBN"
"423","co-founded","co-found","VBD"
"424","co-sponsored","co-sponsor","VBN"
"425","coated","coat","VBN"
"426","collaborated","collaborate","VBD"
"427","collapsed","collapse","VBD"
"428","collapsed","collapse","VBN"
"429","collateralized","collateralize","VBN"
"430","collected","collect","VBD"
"431","collected","collect","VBN"
"432","colored","color","VBN"
"433","combined","combine","VBD"
"434","combined","combine","VBN"
"435","come","come","VBD"
"436","come","come","VBN"
"437","commented","comment","VBD"
"438","commissioned","commission","VBD"
"439","commissioned","commission","VBN"
"440","committed","commit","VBD"
"441","committed","commit","VBN"
"442","compacted","compact","VBN"
"443","compared","compare","VBD"
"444","compared","compare","VBN"
"445","compelled","compel","VBN"
"446","compiled","compile","VBN"
"447","complained","complain","VBD"
"448","complained","complain","VBN"
"449","completed","complete","VBD"
"450","completed","complete","VBN"
"451","complicated","complicate","VBD"
"452","complicated","complicate","VBN"
"453","complied","comply","VBD"
"454","complied","comply","VBN"
"455","composed","compose","VBN"
"456","compounded","compound","VBD"
"457","compounded","compound","VBN"
"458","compromised","compromise","VBN"
"459","computerized","computerize","VBN"
"460","conceded","concede","VBD"
"461","conceded","concede","VBN"
"462","conceived","conceive","VBD"
"463","conceived","conceive","VBN"
"464","concentrated","concentrate","VBD"
"465","concentrated","concentrate","VBN"
"466","concerned","concern","VBD"
"467","concerned","concern","VBN"
"468","concluded","conclude","VBD"
"469","concluded","conclude","VBN"
"470","concocted","concoct","VBN"
"471","concurred","concur","VBD"
"472","condemned","condemn","VBD"
"473","condemned","condemn","VBN"
"474","conditioned","condition","VBN"
"475","conducted","conduct","VBD"
"476","conducted","conduct","VBN"
"477","confessed","confess","VBD"
"478","confessed","confess","VBN"
"479","confided","confide","VBD"
"480","confined","confine","VBN"
"481","confirmed","confirm","VBD"
"482","confirmed","confirm","VBN"
"483","confiscated","confiscate","VBD"
"484","confiscated","confiscate","VBN"
"485","confronted","confront","VBN"
"486","confused","confuse","VBD"
"487","confused","confuse","VBN"
"488","congratulated","congratulate","VBD"
"489","congratulated","congratulate","VBN"
"490","connected","connect","VBN"
"491","considered","consider","VBD"
"492","considered","consider","VBN"
"493","consisted","consist","VBD"
"494","consisted","consist","VBN"
"495","consolidated","consolidate","VBD"
"496","consolidated","consolidate","VBN"
"497","conspired","conspire","VBD"
"498","constituted","constitute","VBD"
"499","constrained","constrain","VBN"
"500","constructed","construct","VBN"
"501","construed","construe","VBD"
"502","construed","construe","VBN"
"503","consulted","consult","VBN"
"504","consumed","consume","VBD"
"505","consumed","consume","VBN"
"506","consummated","consummate","VBN"
"507","contacted","contact","VBD"
"508","contacted","contact","VBN"
"509","contained","contain","VBD"
"510","contained","contain","VBN"
"511","contaminated","contaminate","VBN"
"512","contemplated","contemplate","VBD"
"513","contemplated","contemplate","VBN"
"514","contended","contend","VBD"
"515","contended","contend","VBN"
"516","contested","contest","VBD"
"517","contested","contest","VBN"
"518","continued","continue","VBD"
"519","continued","continue","VBN"
"520","contracted","contract","VBD"
"521","contracted","contract","VBN"
"522","contrasted","contrast","VBD"
"523","contrasted","contrast","VBN"
"524","contributed","contribute","VBD"
"525","contributed","contribute","VBN"
"526","controlled","control","VBD"
"527","controlled","control","VBN"
"528","convened","convene","VBD"
"529","convened","convene","VBN"
"530","converted","convert","VBD"
"531","converted","convert","VBN"
"532","conveyed","convey","VBD"
"533","convicted","convict","VBD"
"534","convicted","convict","VBN"
"535","convinced","convince","VBD"
"536","convinced","convince","VBN"
"537","convoluted","convolute","VBN"
"538","cooked","cook","VBN"
"539","cooled","cool","VBD"
"540","cooled","cool","VBN"
"541","cooperated","cooperate","VBD"
"542","cooperated","cooperate","VBN"
"543","coordinated","coordinate","VBN"
"544","copied","copy","VBD"
"545","copied","copy","VBN"
"546","copyrighted","copyright","VBN"
"547","cornered","corner","VBN"
"548","corrected","correct","VBD"
"549","corrected","correct","VBN"
"550","cost","cost","VBD"
"551","cost","cost","VBN"
"552","costumed","costume","VBN"
"553","coughed","cough","VBD"
"554","coughed","cough","VBN"
"555","counted","count","VBD"
"556","counted","count","VBN"
