,WORD,LEMMA,XPOS,0
0,'d,have,VBD,11
1,abandoned,abandon,VBD,13
2,abandoned,abandon,VBN,21
3,abated,abate,VBD,1
4,abated,abate,VBN,2
5,abolished,abolish,VBD,2
6,abolished,abolish,VBN,4
7,aborted,abort,VBN,2
8,absorbed,absorb,VBD,2
9,absorbed,absorb,VBN,8
10,abstained,abstain,VBD,2
11,abused,abuse,VBD,1
12,abused,abuse,VBN,3
13,accelerated,accelerate,VBD,6
14,accelerated,accelerate,VBN,3
15,accepted,accept,VBD,28
16,accepted,accept,VBN,23
17,accommodated,accommodate,VBN,2
18,accompanied,accompany,VBD,1
19,accompanied,accompany,VBN,14
20,accomplished,accomplish,VBN,5
21,accounted,account,VBD,29
22,accounted,account,VBN,6
23,accrued,accrue,VBN,13
24,accumulated,accumulate,VBN,8
25,accused,accuse,VBD,28
26,accused,accuse,VBN,32
27,accustomed,accustom,VBN,4
28,achieved,achieve,VBD,10
29,achieved,achieve,VBN,26
30,acknowledged,acknowledge,VBD,31
31,acknowledged,acknowledge,VBN,2
32,acquired,acquire,VBD,71
33,acquired,acquire,VBN,89
34,acquitted,acquit,VBN,6
35,acted,act,VBD,12
36,acted,act,VBN,6
37,activated,activate,VBN,2
38,adapted,adapt,VBD,5
39,adapted,adapt,VBN,6
40,added,add,VBD,334
41,added,add,VBN,55
42,addicted,addict,VBN,2
43,addressed,address,VBD,4
44,addressed,address,VBN,7
45,adjusted,adjust,VBD,1
46,adjusted,adjust,VBN,56
47,administered,administer,VBN,5
48,admitted,admit,VBD,12
49,admitted,admit,VBN,12
50,adopted,adopt,VBD,22
51,adopted,adopt,VBN,27
52,adorned,adorn,VBD,1
53,adorned,adorn,VBN,1
54,advanced,advance,VBD,56
55,advanced,advance,VBN,15
56,advertised,advertise,VBD,2
57,advertised,advertise,VBN,3
58,advised,advise,VBD,16
59,advised,advise,VBN,12
60,advocated,advocate,VBD,1
61,advocated,advocate,VBN,2
62,affected,affect,VBD,10
63,affected,affect,VBN,52
64,affiliated,affiliate,VBN,7
65,affirmed,affirm,VBD,3
66,afforded,afford,VBN,4
67,aged,age,VBN,11
68,aggravated,aggravate,VBD,1
69,aggravated,aggravate,VBN,4
70,agreed,agree,VBD,256
71,agreed,agree,VBN,99
72,aided,aid,VBD,1
73,aided,aid,VBN,12
74,aimed,aim,VBD,7
75,aimed,aim,VBN,70
76,aired,air,VBD,5
77,aired,air,VBN,6
78,alarmed,alarm,VBN,4
79,alerted,alert,VBD,2
80,aligned,align,VBN,6
81,alleged,allege,VBD,14
82,alleged,allege,VBN,32
83,allocated,allocate,VBD,1
84,allocated,allocate,VBN,10
85,allowed,allow,VBD,31
86,allowed,allow,VBN,72
87,alluded,allude,VBD,2
88,altered,alter,VBD,2
89,altered,alter,VBN,6
90,amassed,amass,VBD,1
91,amassed,amass,VBN,4
92,amazed,amaze,VBN,1
93,ambushed,ambush,VBD,2
94,amended,amend,VBD,8
95,amended,amend,VBN,12
96,amounted,amount,VBD,22
97,amounted,amount,VBN,1
98,amplified,amplify,VBN,2
99,analyzed,analyze,VBD,8
100,analyzed,analyze,VBN,1
101,angered,anger,VBD,5
102,angered,anger,VBN,4
103,announced,announce,VBD,186
104,announced,announce,VBN,99
105,annoyed,annoy,VBD,2
106,annoyed,annoy,VBN,1
107,annualized,annualize,VBN,8
108,answered,answer,VBD,2
109,answered,answer,VBN,5
110,anticipated,anticipate,VBD,7
111,anticipated,anticipate,VBN,27
112,appalled,appal,VBN,4
113,appealed,appeal,VBD,8
114,appealed,appeal,VBN,6
115,appeared,appear,VBD,60
116,appeared,appear,VBN,4
117,appended,append,VBN,2
118,applauded,applaud,VBD,3
119,applied,apply,VBD,11
120,applied,apply,VBN,19
121,appointed,appoint,VBD,3
122,appointed,appoint,VBN,35
123,appreciated,appreciate,VBD,2
124,appreciated,appreciate,VBN,3
125,approached,approach,VBD,10
126,approached,approach,VBN,15
127,appropriated,appropriate,VBD,1
128,appropriated,appropriate,VBN,5
129,approved,approve,VBD,83
130,approved,approve,VBN,84
131,arched,arch,VBD,1
132,argued,argue,VBD,42
