,word,lemma,ptb_pos,has_dobj,has_nsubjpass,count
0,'m,be,VBP,False,False,79
1,'re,be,VBP,False,False,178
2,'s,be,VBZ,False,False,1241
3,'ve,have,VBP,False,False,1
4,'ve,have,VBP,True,False,1
5,15,15,VBN,False,False,1
6,abandon,abandon,VB,True,False,17
7,abandon,abandon,VBP,True,False,1
8,abandoned,abandon,VBD,True,False,13
9,abandoned,abandon,VBN,False,False,8
10,abandoned,abandon,VBN,False,True,4
11,abandoned,abandon,VBN,True,False,9
12,abandoning,abandon,VBG,True,False,7
13,abandons,abandon,VBZ,True,False,2
14,abate,abate,VB,False,False,2
15,abated,abate,VBD,False,False,1
16,abated,abate,VBN,False,False,1
17,abated,abate,VBN,False,True,1
18,abates,abate,VBZ,False,False,1
19,abating,abate,VBG,False,False,4
20,abdicate,abdicate,VBP,True,False,1
21,abetted,abet,VBN,False,False,1
22,abetting,abet,VBG,False,False,2
23,abide,abide,VB,False,False,2
24,abolish,abolish,VB,False,False,1
25,abolish,abolish,VB,True,False,5
26,abolished,abolish,VBD,True,False,2
27,abolished,abolish,VBN,False,False,2
28,abolished,abolish,VBN,False,True,1
29,abolished,abolish,VBN,True,False,1
30,abolishing,abolish,VBG,True,False,2
31,aborted,abort,VBN,False,False,2
32,abound,abound,VBP,False,False,3
33,abounded,abound,VBD,False,False,2
34,abounding,abound,VBG,False,False,1
35,abounds,abound,VBZ,False,False,1
36,abridging,abridge,VBG,True,False,1
37,absent,absent,VB,False,False,1
38,absolving,absolve,VBG,True,False,1
39,absorb,absorb,VB,False,False,2
40,absorb,absorb,VB,True,False,14
41,absorb,absorb,VBP,True,False,1
42,absorbed,absorb,VBD,True,False,2
43,absorbed,absorb,VBN,False,False,5
44,absorbed,absorb,VBN,False,True,4
45,absorbing,absorb,VBG,True,False,2
46,absorbs,absorb,VBZ,True,False,1
47,abstained,abstain,VBD,False,False,2
48,abuse,abuse,VB,False,False,1
49,abused,abuse,VBD,True,False,1
50,abused,abuse,VBN,False,False,1
51,abused,abuse,VBN,False,True,1
52,abused,abuse,VBN,True,False,1
53,abusing,abuse,VBG,True,False,1
54,accede,accede,VB,False,False,2
55,acceded,accede,VBD,False,False,1
56,accelerate,accelerate,VB,False,False,7
57,accelerate,accelerate,VB,True,False,4
58,accelerated,accelerate,VBD,False,False,5
59,accelerated,accelerate,VBD,True,False,1
60,accelerated,accelerate,VBN,False,False,3
61,accelerates,accelerate,VBZ,False,False,1
62,accelerates,accelerate,VBZ,True,False,2
63,accelerating,accelerate,VBG,False,False,6
64,accelerating,accelerate,VBG,True,False,2
65,accept,accept,VB,False,False,6
66,accept,accept,VB,True,False,62
67,accept,accept,VBP,False,False,1
68,accept,accept,VBP,True,False,9
69,accepted,accept,VBD,False,False,2
70,accepted,accept,VBD,True,False,26
71,accepted,accept,VBN,False,False,7
72,accepted,accept,VBN,False,True,11
73,accepted,accept,VBN,True,False,5
74,accepting,accept,VBG,True,False,16
75,accepts,accept,VBZ,True,False,5
76,access,access,VB,True,False,2
77,acclaim,acclaim,VB,True,False,1
78,accommodate,accommodate,VB,False,False,2
79,accommodate,accommodate,VB,True,False,16
80,accommodate,accommodate,VBP,True,False,1
81,accommodated,accommodate,VBN,False,True,2
82,accommodating,accommodate,VBG,False,False,1
83,accomodate,accomodate,VB,True,False,1
84,accompanied,accompany,VBD,True,False,1
85,accompanied,accompany,VBN,False,False,6
86,accompanied,accompany,VBN,False,True,7
87,accompanied,accompany,VBN,True,False,1
88,accompanies,accompany,VBZ,True,False,5
89,accompany,accompany,VB,True,False,5
90,accompanying,accompany,VBG,False,False,6
91,accompanying,accompany,VBG,True,False,2
92,accomplish,accomplish,VB,False,False,2
93,accomplish,accomplish,VB,True,False,9
94,accomplished,accomplish,VBN,False,True,2
95,accomplished,accomplish,VBN,True,False,3
