"","verb","model","is_trans","test","item_number","obj_exp","VB","VBD","VBN","total","percent_VBD","percent_VBN","vb_freq","total_freq","vbd_freq","vbn_freq"
"1","abstained","5gram","Intrans","transf-longmod",0,0,0,2,0,2,1,0,"1","2","2","0"
"2","abstained","5gram","Intrans","transf-longmod",1,0,0,2,0,2,1,0,"1","2","2","0"
"3","abstained","5gram","Intrans","transf-longmod",2,0,0,2,0,2,1,0,"1","2","2","0"
"4","abstained","5gram","Intrans","transf-longmod",3,0,0,2,0,2,1,0,"1","2","2","0"
"5","abstained","5gram","Intrans","transf-longmod",4,0,0,2,0,2,1,0,"1","2","2","0"
"6","abstained","5gram","Intrans","transf-longmod",5,0,0,2,0,2,1,0,"1","2","2","0"
"7","abstained","5gram","Intrans","transf-longmod",6,0,0,2,0,2,1,0,"1","2","2","0"
"8","abstained","5gram","Intrans","transf-longmod",7,0,0,2,0,2,1,0,"1","2","2","0"
"9","abstained","5gram","Intrans","transf-longmod",8,0,0,2,0,2,1,0,"1","2","2","0"
"10","abstained","5gram","Intrans","transf-longmod",9,0,0,2,0,2,1,0,"1","2","2","0"
"11","abstained","5gram","Intrans","transf-longmod",10,0,0,2,0,2,1,0,"1","2","2","0"
"12","abstained","5gram","Intrans","transf-longmod",11,0,0,2,0,2,1,0,"1","2","2","0"
"13","abstained","5gram","Intrans","transf-longmod",12,0,0,2,0,2,1,0,"1","2","2","0"
"14","abstained","5gram","Intrans","transf-longmod",13,0,0,2,0,2,1,0,"1","2","2","0"
"15","abstained","5gram","Intrans","transf-longmod",14,0,0,2,0,2,1,0,"1","2","2","0"
"16","abstained","5gram","Intrans","transf-longmod",15,0,0,2,0,2,1,0,"1","2","2","0"
"17","abstained","5gram","Intrans","transf-longmod",16,0,0,2,0,2,1,0,"1","2","2","0"
"18","abstained","5gram","Intrans","transf-longmod",17,0,0,2,0,2,1,0,"1","2","2","0"
"19","abstained","5gram","Intrans","transf-longmod",18,0,0,2,0,2,1,0,"1","2","2","0"
"20","abstained","5gram","Intrans","transf-longmod",19,0,0,2,0,2,1,0,"1","2","2","0"
"21","abstained","5gram","Intrans","transf-mod",0,0,0,2,0,2,1,0,"1","2","2","0"
"22","abstained","5gram","Intrans","transf-mod",1,0,0,2,0,2,1,0,"1","2","2","0"
"23","abstained","5gram","Intrans","transf-mod",2,0,0,2,0,2,1,0,"1","2","2","0"
